Subject,Session,Overt SNR Improvement Ratio,Covert SNR Improvement Ratio
01,01,0.330379699122452,0.584859648776873
02,01,0.9987904692325893,0.998937679495363
03,01,0.8249261641921637,0.9126471664604802
04,01,0.9820797280407733,0.9894214891662121
04,02,0.8293023228287143,0.8471606865146537
05,01,0.03974165793782412,0.14885189816644984
05,02,0.8896327349693457,0.8978334610443472
06,01,0.9886641681350106,0.9852637783215817
06,02,0.9897545426215886,0.9956919600303106
07,01,0.98013783187113,0.9824415718836421
08,01,0.1587121989275777,0.20443245950492273
09,01,0.987341203577704,0.9935559455834063
09,02,0.6736678113533755,0.6496841944183052
10,01,0.9474741684529908,0.9598202487994378
11,01,0.16566477552251857,0.49304484306936436
12,01,0.8623729465641691,0.8678287893138322
12,02,0.5813255228685583,0.7672595380238874
13,01,0.5675207164848355,0.6396817479726438
13,02,0.5003469356831995,0.5227825309959787
14,01,0.8289204317591904,0.8560680000854655
15,01,0.95732270282682,0.9576238241305969
15,02,0.9611650404816645,0.9619802168347239
